"covariateId","covariateName","analysisId","conceptId","covariateValue"
20003,"age group: 100 - 104",3,0,3.28192020094627
16003,"age group:  80 -  84",3,0,2.80329709109695
15003,"age group:  75 -  79",3,0,2.4306597132197
14003,"age group:  70 -  74",3,0,2.11424446136545
8003,"age group:  40 -  44",3,0,-1.91024204409845
6003,"age group:  30 -  34",3,0,-1.82272560666064
17003,"age group:  85 -  89",3,0,1.70733762796235
19003,"age group:  95 -  99",3,0,1.57805367628426
13003,"age group:  65 -  69",3,0,1.47289008134499
22598,"Cohort_covariate during day -183 through -4 days relative to index:  Sex_hormones_modulators  ",456,-1,-1.22108774215177
22612,"Cohort_covariate during day -99999 through 0 days relative to index:  Obesity  ",456,-1,-0.913640808946808
22610,"Cohort_covariate during day -183 through -4 days relative to index:  Lipid_modifying_agent  ",456,-1,-0.891524474840162
3003,"age group:  15 -  19",3,0,-0.716613114932464
22590,"Cohort_covariate during day -99999 through 0 days relative to index:  Autoimmune_disease  ",456,-1,0.713659250628934
18003,"age group:  90 -  94",3,0,0.669520767102611
22605,"Cohort_covariate during day -183 through -4 days relative to index:  Coxib  ",456,-1,-0.628183887734409
7003,"age group:  35 -  39",3,0,-0.587886399595784
22609,"Cohort_covariate during day -183 through -4 days relative to index:  Antineoplastic_immunomodulating  ",456,-1,-0.576246158545204
22606,"Cohort_covariate during day -183 through -4 days relative to index:  Antiinflammatory  ",456,-1,0.575179456276508
22618,"Cohort_covariate during day -99999 through 0 days relative to index:  Hypertensive_disorder  ",456,-1,0.54271246553202
12003,"age group:  60 -  64",3,0,0.520860355104992
22613,"Cohort_covariate during day -99999 through 0 days relative to index:  Diabetes_mellitus  ",456,-1,0.46718929874671
22615,"Cohort_covariate during day -99999 through 0 days relative to index:  Dementia  ",456,-1,0.453146979645276
22604,"Cohort_covariate during day -183 through -4 days relative to index:  Corticosteroids  ",456,-1,0.372981880514566
22614,"Cohort_covariate during day -99999 through 0 days relative to index:  Malignant_neoplastic_disease  ",456,-1,0.317620126391238
9003,"age group:  45 -  49",3,0,0.292186012239482
22591,"Cohort_covariate during day -99999 through 0 days relative to index:  Atrial_fibrillation  ",456,-1,0.182881472679271
22603,"Cohort_covariate during day -183 through -4 days relative to index:  Antithrombotic_agent  ",456,-1,-0.165894807779868
22611,"Cohort_covariate during day -99999 through 0 days relative to index:  Heart_disease  ",456,-1,-0.0772107966679462
22617,"Cohort_covariate during day -99999 through 0 days relative to index:  Renal_impairment  ",456,-1,0.0608332835217912
22592,"Cohort_covariate during day -99999 through 0 days relative to index:  Asthma  ",456,-1,-0.0400824586886908
8507001,"gender = MALE",1,8507,-0.0153110154843324
21003,"age group: 105 - 109",3,0,0
4003,"age group:  20 -  24",3,0,0
10003,"age group:  50 -  54",3,0,0
5003,"age group:  25 -  29",3,0,0
11003,"age group:  55 -  59",3,0,0
8532001,"gender = FEMALE",1,8532,0
22593,"Cohort_covariate during day -99999 through 0 days relative to index:  Thrombophilia  ",456,-1,0
22594,"Cohort_covariate during day -99999 through 0 days relative to index:  Antiphospholipid_syndrome  ",456,-1,0
22616,"Cohort_covariate during day -99999 through 0 days relative to index:  Chronic_obstructive_lung_disease  ",456,-1,0
22608,"Cohort_covariate during day -183 through -4 days relative to index:  Hormonal_contraceptives  ",456,-1,0
22607,"Cohort_covariate during day -183 through -4 days relative to index:  Tamoxifen  ",456,-1,0
